CS+ V8.10.00  [06 Jun 2023] [Watch Information]
25 January 2024 15:47:00
Debug Tool :RL78 E2 Lite
Project Name :Metrology NPL SM 3Ph4W Skeleton
Watch, Value, Type(Byte Size), Address, Memo
"' [110]","-5.321000E+003","float(4)","0xf929a",""
"' [111]","-5.604000E+003","float(4)","0xf929e",""
"' [112]","-5.806000E+003","float(4)","0xf92a2",""
"' [113]","-5.983000E+003","float(4)","0xf92a6",""
"' [114]","-6.128000E+003","float(4)","0xf92aa",""
"' [115]","-6.232000E+003","float(4)","0xf92ae",""
"' [116]","-6.264000E+003","float(4)","0xf92b2",""
"' [117]","-6.280000E+003","float(4)","0xf92b6",""
"' [118]","-6.239000E+003","float(4)","0xf92ba",""
"' [119]","-6.183000E+003","float(4)","0xf92be",""
"' [120]","-6.063000E+003","float(4)","0xf92c2",""
"' [121]","-5.903000E+003","float(4)","0xf92c6",""
"' [122]","-5.704000E+003","float(4)","0xf92ca",""
"' [123]","-5.466000E+003","float(4)","0xf92ce",""
"' [124]","-5.189000E+003","float(4)","0xf92d2",""
"' [125]","-4.881000E+003","float(4)","0xf92d6",""
"' [126]","-4.534000E+003","float(4)","0xf92da",""
"' [127]","-4.156000E+003","float(4)","0xf92de",""
"' [128]","-3.748000E+003","float(4)","0xf92e2",""
"' [129]","-3.325000E+003","float(4)","0xf92e6",""
"' [130]","-2.880000E+003","float(4)","0xf92ea",""
"' [131]","-2.389000E+003","float(4)","0xf92ee",""
"' [132]","-1.908000E+003","float(4)","0xf92f2",""
"' [133]","-1.413000E+003","float(4)","0xf92f6",""
"' [134]","-8.870000E+002","float(4)","0xf92fa",""
"' [135]","-3.800000E+002","float(4)","0xf92fe",""
"' [136]","1.490000E+002","float(4)","0xf9302",""
"' [137]","6.600000E+002","float(4)","0xf9306",""
"' [138]","1.177000E+003","float(4)","0xf930a",""
"' [139]","1.684000E+003","float(4)","0xf930e",""
"' [140]","2.181000E+003","float(4)","0xf9312",""
"' [141]","2.676000E+003","float(4)","0xf9316",""
"' [142]","3.146000E+003","float(4)","0xf931a",""
"' [143]","3.606000E+003","float(4)","0xf931e",""
"' [144]","4.032000E+003","float(4)","0xf9322",""
"' [145]","4.440000E+003","float(4)","0xf9326",""
"' [146]","4.823000E+003","float(4)","0xf932a",""
"' [147]","5.172000E+003","float(4)","0xf932e",""
"' [148]","5.504000E+003","float(4)","0xf9332",""
"' [149]","5.763000E+003","float(4)","0xf9336",""
"' [150]","6.052000E+003","float(4)","0xf933a",""
"' [151]","6.260000E+003","float(4)","0xf933e",""
"' [152]","6.436000E+003","float(4)","0xf9342",""
"' [153]","6.579000E+003","float(4)","0xf9346",""
"' [154]","6.665000E+003","float(4)","0xf934a",""
"' [155]","6.719000E+003","float(4)","0xf934e",""
"' [156]","6.709000E+003","float(4)","0xf9352",""
"' [157]","6.691000E+003","float(4)","0xf9356",""
"' [158]","6.609000E+003","float(4)","0xf935a",""
"' [159]","6.487000E+003","float(4)","0xf935e",""
"' [160]","6.334000E+003","float(4)","0xf9362",""
"' [161]","6.133000E+003","float(4)","0xf9366",""
"' [162]","5.901000E+003","float(4)","0xf936a",""
"' [163]","5.622000E+003","float(4)","0xf936e",""
"' [164]","5.312000E+003","float(4)","0xf9372",""
"' [165]","4.963000E+003","float(4)","0xf9376",""
"' [166]","4.600000E+003","float(4)","0xf937a",""
"' [167]","4.190000E+003","float(4)","0xf937e",""
"' [168]","3.766000E+003","float(4)","0xf9382",""
"' [169]","3.303000E+003","float(4)","0xf9386",""
"' [170]","2.826000E+003","float(4)","0xf938a",""
"' [171]","2.351000E+003","float(4)","0xf938e",""
"' [172]","1.854000E+003","float(4)","0xf9392",""
"' [173]","1.335000E+003","float(4)","0xf9396",""
"' [174]","8.100000E+002","float(4)","0xf939a",""
"' [175]","2.950000E+002","float(4)","0xf939e",""
"' [176]","-2.180000E+002","float(4)","0xf93a2",""
"' [177]","-7.210000E+002","float(4)","0xf93a6",""
"' [178]","-1.222000E+003","float(4)","0xf93aa",""
"' [179]","-1.713000E+003","float(4)","0xf93ae",""
"' [180]","-2.202000E+003","float(4)","0xf93b2",""
"' [181]","-2.681000E+003","float(4)","0xf93b6",""
"' [182]","-3.143000E+003","float(4)","0xf93ba",""
"' [183]","-3.579000E+003","float(4)","0xf93be",""
"' [184]","-3.989000E+003","float(4)","0xf93c2",""
"' [185]","-4.373000E+003","float(4)","0xf93c6",""
"' [186]","-4.740000E+003","float(4)","0xf93ca",""
"' [187]","-5.065000E+003","float(4)","0xf93ce",""
"' [188]","-5.357000E+003","float(4)","0xf93d2",""
"' [189]","-5.624000E+003","float(4)","0xf93d6",""
"' [190]","-5.866000E+003","float(4)","0xf93da",""
"' [191]","-6.035000E+003","float(4)","0xf93de",""
"' [192]","-6.179000E+003","float(4)","0xf93e2",""
"' [193]","-6.283000E+003","float(4)","0xf93e6",""
"' [194]","-6.338000E+003","float(4)","0xf93ea",""
"' [195]","-6.345000E+003","float(4)","0xf93ee",""
"' [196]","-6.320000E+003","float(4)","0xf93f2",""
"' [197]","-6.247000E+003","float(4)","0xf93f6",""
"' [198]","-6.135000E+003","float(4)","0xf93fa",""
"' [199]","-5.975000E+003","float(4)","0xf93fe",""
