CS+ V8.10.00  [06 Jun 2023] [Watch Information]
25 January 2024 15:50:46
Debug Tool :RL78 E2 Lite
Project Name :Metrology NPL SM 3Ph4W Skeleton
Watch, Value, Type(Byte Size), Address, Memo
"'-V_B","-","int32_t [200](800)","0xf90e2",""
"' [0]","1353","int32_t(4)","0xf90e2",""
"' [1]","1852","int32_t(4)","0xf90e6",""
"' [2]","2341","int32_t(4)","0xf90ea",""
"' [3]","2852","int32_t(4)","0xf90ee",""
"' [4]","3321","int32_t(4)","0xf90f2",""
"' [5]","3764","int32_t(4)","0xf90f6",""
"' [6]","4197","int32_t(4)","0xf90fa",""
"' [7]","1717","int32_t(4)","0xf90fe",""
"' [8]","1438","int32_t(4)","0xf9102",""
"' [9]","944","int32_t(4)","0xf9106",""
"' [10]","436","int32_t(4)","0xf910a",""
"' [11]","-70","int32_t(4)","0xf910e",""
"' [12]","-574","int32_t(4)","0xf9112",""
"' [13]","-1068","int32_t(4)","0xf9116",""
"' [14]","-1568","int32_t(4)","0xf911a",""
"' [15]","-2042","int32_t(4)","0xf911e",""
"' [16]","-2506","int32_t(4)","0xf9122",""
"' [17]","-2944","int32_t(4)","0xf9126",""
"' [18]","-3357","int32_t(4)","0xf912a",""
"' [19]","-3752","int32_t(4)","0xf912e",""
"' [20]","-4105","int32_t(4)","0xf9132",""
"' [21]","-4433","int32_t(4)","0xf9136",""
"' [22]","-4736","int32_t(4)","0xf913a",""
"' [23]","-4998","int32_t(4)","0xf913e",""
"' [24]","-5226","int32_t(4)","0xf9142",""
"' [25]","-5406","int32_t(4)","0xf9146",""
"' [26]","-5545","int32_t(4)","0xf914a",""
"' [27]","-5651","int32_t(4)","0xf914e",""
"' [28]","-5701","int32_t(4)","0xf9152",""
"' [29]","-5711","int32_t(4)","0xf9156",""
"' [30]","-5689","int32_t(4)","0xf915a",""
"' [31]","-5619","int32_t(4)","0xf915e",""
"' [32]","-5517","int32_t(4)","0xf9162",""
"' [33]","-5367","int32_t(4)","0xf9166",""
"' [34]","-5146","int32_t(4)","0xf916a",""
"' [35]","-4918","int32_t(4)","0xf916e",""
"' [36]","-4635","int32_t(4)","0xf9172",""
"' [37]","-4329","int32_t(4)","0xf9176",""
"' [38]","-3992","int32_t(4)","0xf917a",""
"' [39]","-3616","int32_t(4)","0xf917e",""
"' [40]","-3210","int32_t(4)","0xf9182",""
"' [41]","-2789","int32_t(4)","0xf9186",""
"' [42]","-2338","int32_t(4)","0xf918a",""
"' [43]","-1841","int32_t(4)","0xf918e",""
"' [44]","-1378","int32_t(4)","0xf9192",""
"' [45]","-877","int32_t(4)","0xf9196",""
"' [46]","-370","int32_t(4)","0xf919a",""
"' [47]","159","int32_t(4)","0xf919e",""
"' [48]","638","int32_t(4)","0xf91a2",""
"' [49]","1172","int32_t(4)","0xf91a6",""
"' [50]","1687","int32_t(4)","0xf91aa",""
"' [51]","2192","int32_t(4)","0xf91ae",""
"' [52]","2687","int32_t(4)","0xf91b2",""
"' [53]","3181","int32_t(4)","0xf91b6",""
"' [54]","3657","int32_t(4)","0xf91ba",""
"' [55]","4107","int32_t(4)","0xf91be",""
"' [56]","4531","int32_t(4)","0xf91c2",""
"' [57]","4945","int32_t(4)","0xf91c6",""
"' [58]","5318","int32_t(4)","0xf91ca",""
"' [59]","5673","int32_t(4)","0xf91ce",""
"' [60]","6003","int32_t(4)","0xf91d2",""
"' [61]","6284","int32_t(4)","0xf91d6",""
"' [62]","6547","int32_t(4)","0xf91da",""
"' [63]","6753","int32_t(4)","0xf91de",""
"' [64]","6935","int32_t(4)","0xf91e2",""
"' [65]","7068","int32_t(4)","0xf91e6",""
